time us,current kA
-0.181,0.48707
-0.18,0.48707
-0.179,0.48707
-0.178,0.69569
-0.177,3.20055
-0.176,0.69569
-0.175,0.20876
-0.174,1.94798
-0.173,1.94798
-0.172,1.94798
-0.171,0.20876
-0.17,1.94798
-0.169,4.3833
-0.168,2.3655
-0.167,2.3655
-0.166,0.13911
-0.165,2.15745
-0.164,1.94798
-0.163,0.20876
-0.162,1.6701
-0.161,1.39151
-0.16,1.11321
-0.159,0.90445
-0.158,0.90445
-0.157,0.90445
-0.156,1.11321
-0.155,3.41002
-0.154,0.69569
-0.153,0.97413
-0.152,0.69569
-0.151,0.69569
-0.15,0.90445
-0.149,0.90445
-0.148,1.11321
-0.147,3.41002
-0.146,0.69569
-0.145,0.97413
-0.144,0.69569
-0.143,0.48707
-0.142,0.48707
-0.141,0.69569
-0.14,0.90445
-0.139,1.11321
-0.138,1.32197
-0.137,1.32197
-0.136,1.32197
-0.135,1.11321
-0.134,0.90445
-0.133,0.69569
-0.132,0.48707
-0.131,0.48707
-0.13,0.69569
-0.129,1.18275
-0.128,1.6701
-0.127,2.15745
-0.126,2.08763
-0.125,1.60028
-0.124,1.39151
-0.123,3.61808
-0.122,0.69569
-0.121,1.60028
-0.12,1.80833
-0.119,1.80833
-0.118,1.80833
-0.117,1.60028
-0.116,1.39151
-0.115,3.41002
-0.114,0.69569
-0.113,1.18275
-0.112,1.39151
-0.111,1.60028
-0.11,4.31348
-0.109,0.13911
-0.108,2.08763
-0.107,1.80833
-0.106,1.53045
-0.105,1.11321
-0.104,1.11321
-0.103,1.39151
-0.102,1.6701
-0.101,4.3833
-0.1,0.13911
-0.099,2.15745
-0.098,1.6701
-0.097,1.39151
-0.096,1.11321
-0.095,1.11321
-0.094,1.53045
-0.093,3.82755
-0.092,0.69569
-0.091,1.18275
-0.09,0.69569
-0.089,0.48707
-0.088,0.48707
-0.087,0.48707
-0.086,0.48707
-0.085,0.69569
-0.084,1.11321
-0.083,3.61808
-0.082,0.69569
-0.081,1.39151
-0.08,1.39151
-0.079,3.61808
-0.078,0.69569
-0.077,1.18275
-0.076,0.97413
-0.075,3.20055
-0.074,0.69569
-0.073,0.97413
-0.072,0.97413
-0.071,3.41002
-0.07,0.69569
-0.069,1.60028
-0.068,1.80833
-0.067,1.60028
-0.066,1.6701
-0.065,2.43533
-0.064,0.69569
-0.063,1.18275
-0.062,1.11321
-0.061,0.90445
-0.06,1.11321
-0.059,3.61808
-0.058,0.69569
-0.057,1.60028
-0.056,1.80833
-0.055,1.80833
-0.054,2.08763
-0.053,2.15745
-0.052,1.94798
-0.051,2.43533
-0.05,0.69569
-0.049,0.97413
-0.048,0.97413
-0.047,3.20055
-0.046,0.69569
-0.045,1.18275
-0.044,1.11321
-0.043,0.90445
-0.042,0.90445
-0.041,0.69569
-0.04,0.48707
-0.039,0.48707
-0.038,0.48707
-0.037,0.48707
-0.036,0.48707
-0.035,0.69569
-0.034,3.6879
-0.033,4.80083
-0.032,5.63588
-0.031,4.87065
-0.03,5.63588
-0.029,8.4189
-0.028,6.67898
-0.027,6.67898
-0.026,5.49623
-0.025,5.358
-0.024,0.13911
